Fecha,Hora,Producto,ISIN,Bolsa,Número,,Precio,,Valor local,,Valor,Tipo de cambio,,Comisión,,Total,ID Orden
10-06-2020,09:05,INDITEX,ES0148396007,MAD,-24,EUR,25.7500,EUR,618.00,EUR,618.00,,EUR,-2.31,EUR,615.69,c26af483-94fc-4460-874c-5765c48b0c10
10-06-2020,09:01,INDITEX,ES0148396007,MAD,100,EUR,25.1000,EUR,-2510.00,EUR,-2510.00,,EUR,-3.26,EUR,-2513.26,138b298a-3e7b-4dc3-877e-97b07436b877
09-06-2020,09:36,SOLARIA,ES0165386014,MAD,-300,EUR,9.3500,EUR,2805.00,EUR,2805.00,,EUR,-3.40,EUR,2801.60,2b16fe7e-68b7-4380-9921-768c1eee5d94
09-06-2020,09:01,INDITEX,ES0148396007,MAD,-100,EUR,26.4000,EUR,2640.00,EUR,2640.00,,EUR,-3.32,EUR,2636.68,ba218bad-e5a3-45fe-9271-881c69579c5b
08-06-2020,15:30,BIOSEARCH,ES0172233118,MAD,-3000,EUR,1.1400,EUR,3420.00,EUR,3420.00,,EUR,-3.71,EUR,3416.29,63755288-7e02-4671-bb95-de846cf5a3fc
08-06-2020,12:52,INDITEX,ES0148396007,MAD,100,EUR,26.5500,EUR,-2655.00,EUR,-2655.00,,EUR,-3.33,EUR,-2658.33,1fb4d89b-7d12-4bc6-bf47-be1c83d4631f
08-06-2020,09:43,PHARMA MAR SA,ES0169501030,MAD,181,EUR,5.8500,EUR,-1058.85,EUR,-1058.85,,EUR,-0.53,EUR,-1059.38,39379d42-6d66-4111-a30a-93e46884b0ac
08-06-2020,09:43,PHARMA MAR SA,ES0169501030,MAD,319,EUR,5.8500,EUR,-1866.15,EUR,-1866.15,,EUR,-2.93,EUR,-1869.08,39379d42-6d66-4111-a30a-93e46884b0ac
08-06-2020,09:19,BIOSEARCH,ES0172233118,MAD,74,EUR,1.1100,EUR,-82.14,EUR,-82.14,,EUR,-0.04,EUR,-82.18,82dd3948-2b0a-4be0-a014-5d3e2bb15974
08-06-2020,09:16,BIOSEARCH,ES0172233118,MAD,2926,EUR,1.1100,EUR,-3247.86,EUR,-3247.86,,EUR,-3.62,EUR,-3251.48,82dd3948-2b0a-4be0-a014-5d3e2bb15974
08-06-2020,09:12,SOLARIA,ES0165386014,MAD,300,EUR,9.6500,EUR,-2895.00,EUR,-2895.00,,EUR,-3.45,EUR,-2898.45,4e546551-0d6b-4b67-9dd5-b7181046bdf3
04-06-2020,11:10,INDITEX,ES0148396007,MAD,-100,EUR,26.2800,EUR,2628.00,EUR,2628.00,,EUR,-3.31,EUR,2624.69,e935c8f8-fb8c-4bcc-b2a4-b7a250d5153b
04-06-2020,10:57,INT.AIRL.GRP,ES0177542018,MAD,-800,EUR,3.1920,EUR,2553.60,EUR,2553.60,,EUR,-3.28,EUR,2550.32,03e52f3d-0852-4ce5-9450-f283d0289ec8
04-06-2020,09:02,INT.AIRL.GRP,ES0177542018,MAD,800,EUR,3.0000,EUR,-2400.00,EUR,-2400.00,,EUR,-3.20,EUR,-2403.20,4cb9fddf-c798-4f04-b03c-f7e6ae472407
